,phrase,counts
77,new people,188
114,pacific northwest,87
105,university of washington,87
2678,wonderful city,85
377,life motto,84
1,interior designer,82
604,new places,74
4691,short term rentals,70
2705,corporate housing,70
4695,problem free,69
4697,quality furnishings,69
4710,government workers,69
4690,booking process easy,69
4708,family travel,69
4707,urban vacations,69
4706,pet friendly vacationers,69
4704,military training,69
4689,high end buildings,69
4703,job relocation,69
4687,unbelievable price,69
4686,units time,69
4684,extended stay,69
4699,kind of way,69
4696,cleaned unit,69
4700,return business,69
4693,best locations,69
4698,welcome feedback,69
170,good food,65
2571,best places,61
2574,great marketing,59
2573,time business,59
2579,quality items,59
2575,amazing design,59
2576,heart of downtown seattle,59
2572,best staff,59
1208,meeting people,57
444,spending time,51
3454,interior design,47
289,downtown seattle,46
467,hosting people,45
1132,new things,45
1521,san francisco,45
539,new experiences,45
485,meeting new people,44
756,management company,44
6128,west seattle,44
18,seattle area,42
3393,remarkable places,40
3401,political economy,38
3407,best cities,38
3396,fair prices,38
3408,review books,38
3406,organization founder,38
3399,furnished studios,38
3394,quality places,38
3397,bedrooms condo apt,38
3395,solo travel,38
3405,convenient locations,38
1679,different cultures,38
3398,homeschooling mom,38
3402,private kitchen,38
1440,new zealand,37
891,years old,37
3456,personal growth,35
3455,modern dance,35
307,free time,34
3459,couch surfers,33
3449,imaginative play,31
3448,italian teacher,31
3450,italian homemade food,31
3451,director of boys tribe project,31
3457,school program,31
3458,emotional intelligence,31
3453,foreign movies,31
231,seattle native,30
502,new york,29
4660,sexual preference,27
850,great food,27
309,seattle home,27
118,seattle natives,27
1890,new restaurants,26
10,east coast,26
657,fellow travelers,26
3131,capitol hill,25
1685,hong kong,25
1285,pike place market,25
1389,interesting people,24
2947,great place,24
1548,south america,24
1813,chez jj,23
1811,creative tech community,23
456,beautiful city,23
1814,high-performance electric boating company,23
4648,video production,23
1810,creative atmosphere,23
1815,pure watercraft,23
1823,technology businesses,23
595,airbnb guests,23
1817,local-oriented online auction,23
1826,angel investor,23
1825,hacker houses,23
1824,techstars mentor,23
4650,graphic design,23
1818,sf bay area,23
1822,short-term housing,23
869,style of hosting,22
4663,star hotel,22
1048,costa rica,22
177,los angeles,22
4649,acting rapping,21
4642,bus pick ups,21
482,live music,21
4643,small business owners,21
4644,rich culture,21
411,world traveler,21
4645,nightlife connections,21
4640,lot of day activity,21
460,favorite places,21
4641,certified life guard,21
4639,interesting new venture,21
3312,favorite spots,21
4638,party bus,21
4637,various hours,21
758,great outdoors,21
4636,little urban humor,21
4632,little exploring,21
4631,business hours,21
4647,city's beauty,21
329,lake washington,21
4669,social couple,21
4665,keyless entry,21
4662,option of tagging,21
4658,private personal time,21
4657,stressful pace,21
4656,transportation company,21
4654,historic land marks,21
760,outdoor activities,20
1308,great city,20
159,spare time,20
3512,airbnb host,19
94,wonderful people,19
637,married couple,19
1289,great restaurants,19
2237,great places,19
1585,real estate agent,18
5416,management consultant,18
113,great experience,18
4729,unique experience,17
1041,walking distance,17
3262,good location,17
2366,rock climbing,16
2910,vacation rentals,16
2328,emerald city,16
6117,alki beach,16
1166,new friends,16
1220,new foods,16
1223,airbnb hosts,16
5611,personal service,16
5612,seattle suites,16
5614,small family run business,16
5615,years of international travel,16
5610,personal travel,16
5616,comfortable bed,16
5618,younger children,16
5619,dog kofi,16
5620,older son,16
2290,yrs old,16
1903,wonderful experience,16
6175,visual artist,16
1687,right direction,15
5274,vacation rental business,15
347,pacific nw,15
4726,quick responses,15
4727,amazing children,15
4728,harbor island,15
4730,coffee beans,15
4731,secured parking,15
4733,lcd tv,15
268,seattle wa,15
1492,phone number hidden,15
1439,good people,15
1557,real estate,15
453,beautiful seattle,15
1214,favorite cities,14
270,entire life,14
1859,eastern europe,14
242,lot of time,14
1560,world travelers,14
5784,studio space,14
3952,home town,14
2477,small business owner,14
374,high school,14
313,avid traveler,14
7181,south seattle,14
575,massage therapist,14
463,glass of wine,14
1467,wonderful place,13
1392,hosting guests,13
3523,ivy league university,13
3524,final inspection,13
3529,new experience,13
3530,positive reviews,13
1163,san diego,13
3533,math problems,13
3534,satisfying guests,13
2425,software engineer,13
241,amazing city,13
